Brand ,Model,Year,Engine HP,Engine Cylinders,Transmission Type,Driven Mode,Number of Doors,highway MPG,city mpg,Popularity,Price
BMW,X6,2017,300,6,AUTOMATIC,all wheel drive,4,24,18,3916,63700
BMW,X6 M,2015,567,8,AUTOMATIC,all wheel drive,4,19,14,3916,102100
BMW,X6 M,2016,567,8,AUTOMATIC,all wheel drive,4,19,14,3916,102200
BMW,X6 M,2017,567,8,AUTOMATIC,all wheel drive,4,19,14,3916,102200
BMW,Z3,2000,193,6,MANUAL,rear wheel drive,2,24,17,3916,4976
BMW,Z3,2000,193,6,MANUAL,rear wheel drive,2,24,17,3916,4697
BMW,Z3,2000,170,6,MANUAL,rear wheel drive,2,25,17,3916,4755
BMW,Z3,2001,225,6,MANUAL,rear wheel drive,2,26,19,3916,37900
BMW,Z3,2001,184,6,MANUAL,rear wheel drive,2,25,18,3916,31300
BMW,Z3,2001,225,6,MANUAL,rear wheel drive,2,26,19,3916,37700
BMW,Z3,2002,225,6,MANUAL,rear wheel drive,2,26,19,3916,37900
BMW,Z3,2002,184,6,MANUAL,rear wheel drive,2,25,18,3916,31300
BMW,Z3,2002,225,6,MANUAL,rear wheel drive,2,26,19,3916,37700
BMW,Z4,2014,240,4,MANUAL,rear wheel drive,2,34,22,3916,48950
BMW,Z4,2014,300,6,MANUAL,rear wheel drive,2,26,19,3916,56950
BMW,Z4,2014,335,6,AUTOMATED_MANUAL,rear wheel drive,2,24,17,3916,65800
BMW,Z4,2015,240,4,MANUAL,rear wheel drive,2,34,22,3916,48950
BMW,Z4,2015,300,6,AUTOMATED_MANUAL,rear wheel drive,2,24,17,3916,56950
BMW,Z4,2015,335,6,AUTOMATED_MANUAL,rear wheel drive,2,24,17,3916,65800
BMW,Z4,2016,300,6,AUTOMATED_MANUAL,rear wheel drive,2,24,17,3916,57500
BMW,Z4,2016,240,4,MANUAL,rear wheel drive,2,34,22,3916,49700
BMW,Z4,2016,335,6,AUTOMATED_MANUAL,rear wheel drive,2,24,17,3916,66350
BMW,Z4 M,2007,330,6,MANUAL,rear wheel drive,2,22,15,3916,50100
BMW,Z4 M,2007,330,6,MANUAL,rear wheel drive,2,22,15,3916,52100
BMW,Z4 M,2008,330,6,MANUAL,rear wheel drive,2,23,15,3916,50400
BMW,Z4 M,2008,330,6,MANUAL,rear wheel drive,2,23,15,3916,52400
BMW,Z8,2001,394,8,MANUAL,rear wheel drive,2,19,12,3916,128000
BMW,Z8,2002,394,8,MANUAL,rear wheel drive,2,19,12,3916,130000
BMW,Z8,2003,394,8,MANUAL,rear wheel drive,2,19,12,3916,131500
