Posting Type,# Of Positions,Business Title,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit
External,1,ASSISTANT ELECTRICAL INSPECTOR,"Engineering, Architecture, & Planning",F,53134,79726,Annual,"Wards Island, N.Y.",Plant Construction
External,5,Construction Safety and Quality Inspector,"Engineering, Architecture, & Planning",F,67083,113725,Annual,"Construction, Safety & Quality",Const. Safety & Quality Dept
Internal,5,Construction Safety and Quality Inspector,"Engineering, Architecture, & Planning",F,67083,113725,Annual,"Construction, Safety & Quality",Const. Safety & Quality Dept
Internal,1,Office Manager (Brooklyn),Legal Affairs,F,33875,54879,Annual,"1 Metro Tech, Brooklyn Ny",Tort: Brooklyn
Internal,1,"DIRECTOR, BUSINESS PROGRAMS",Constituent Services & Community Programs,F,60435,76000,Annual,110 William St. N Y,Business Programs
External,1,"DIRECTOR, BUSINESS PROGRAMS",Constituent Services & Community Programs,F,60435,76000,Annual,110 William St. N Y,Business Programs
Internal,45,OIL BURNER SPECIALIST,Building Operations & Maintenance,F,48371,65585,Annual,Heating Mgt-Operations,Heating Mgmt & Svcs Dept
External,45,OIL BURNER SPECIALIST,Building Operations & Maintenance,F,48371,65585,Annual,Heating Mgt-Operations,Heating Mgmt & Svcs Dept
Internal,2,Borough Planner,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,49990,136023,Annual,55 Water St Ny Ny,Sidewalk/inspection Management
External,2,Borough Planner,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,49990,136023,Annual,55 Water St Ny Ny,Sidewalk/inspection Management
External,1,"Deputy Commissioner, Water and Sewer Operations","Engineering, Architecture, & Planning Finance, Accounting, & Procurement Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,209585,209585,Annual,96-05 Horace Harding Expway,Dept of Environment Protection
Internal,1,"Deputy Commissioner, Water and Sewer Operations","Engineering, Architecture, & Planning Finance, Accounting, & Procurement Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,209585,209585,Annual,96-05 Horace Harding Expway,Dept of Environment Protection
Internal,2,ACCOUNTABLE MANAGER,"Engineering, Architecture, & Planning",F,69491,101848,Annual,"465 Columbus Ave. Valhalla, Ny",I.F.A.-Sources Construction
External,2,ACCOUNTABLE MANAGER,"Engineering, Architecture, & Planning",F,69491,101848,Annual,"465 Columbus Ave. Valhalla, Ny",I.F.A.-Sources Construction
Internal,1,ADMINISTRATIVE PROCUREMENT ANALYST,Administration & Human Resources,F,100000,125000,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
External,1,ADMINISTRATIVE PROCUREMENT ANALYST,Administration & Human Resources,F,100000,125000,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,2,Engineering Director,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,74990,104182,Annual,55 Water St Ny Ny,Sidewalk/inspection Management
External,2,Engineering Director,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,74990,104182,Annual,55 Water St Ny Ny,Sidewalk/inspection Management
External,1,Design Senior Engineer,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,74990,104182,Annual,55 Water St Ny Ny,Sidewalk/inspection Management
Internal,1,Design Senior Engineer,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,74990,104182,Annual,55 Water St Ny Ny,Sidewalk/inspection Management
External,1,Quality Control Senior Engineer,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,74990,104182,Annual,55 Water St Ny Ny,Sidewalk/inspection Management
Internal,1,Quality Control Senior Engineer,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,74990,104182,Annual,55 Water St Ny Ny,Sidewalk/inspection Management
Internal,1,Engineer - Pedestrian Ramp Enforcement Unit,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,74990,104182,Annual,55 Water St Ny Ny,Sidewalk/inspection Management
External,1,Engineer - Pedestrian Ramp Enforcement Unit,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,74990,104182,Annual,55 Water St Ny Ny,Sidewalk/inspection Management
External,1,Metrics and Reporting Engineer,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,63074,91347,Annual,55 Water St Ny Ny,Hw Ops-Quality Control
Internal,1,Metrics and Reporting Engineer,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,63074,91347,Annual,55 Water St Ny Ny,Hw Ops-Quality Control
External,1,EEO Investigator,"Administration & Human Resources Policy, Research & Analysis",F,58716,89638,Annual,59 Maiden Lane,"Equal EMP OPP, DIV & Inclusion"
Internal,1,EEO Investigator,"Administration & Human Resources Policy, Research & Analysis",F,58716,89638,Annual,59 Maiden Lane,"Equal EMP OPP, DIV & Inclusion"
External,1,ASSISTANT PROJECT MANAGER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,53134,79726,Annual,96-05 Horace Harding Expway,Chief Deputies Prj Engrs Sec
Internal,1,ASSISTANT PROJECT MANAGER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,53134,79726,Annual,96-05 Horace Harding Expway,Chief Deputies Prj Engrs Sec
External,80,ASSISTANT CORPORATION COUNSEL,Legal Affairs,F,68494,68494,Annual,"100 Church St., N.Y.",Admin Services
Internal,80,ASSISTANT CORPORATION COUNSEL,Legal Affairs,F,68494,68494,Annual,"100 Church St., N.Y.",Admin Services
Internal,1,BUILDING INSPECTOR,Constituent Services & Community Programs,F,56794,80996,Annual,110 William St. N Y,Waterfront Permits
External,1,BUILDING INSPECTOR,Constituent Services & Community Programs,F,56794,80996,Annual,110 William St. N Y,Waterfront Permits
Internal,6,Criminalist III,Health,F,76516,76516,Annual,421 East 26th Street NY NY,OCME-DNA
External,2,Watershed Maintainer,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,38197,55870,Annual,"356 Flushing Ave, Brooklyn",Central Brookly City Operation
Internal,2,Watershed Maintainer,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,38197,55870,Annual,"356 Flushing Ave, Brooklyn",Central Brookly City Operation
External,1,"Senior Policy Advisor, Energy Finance and Affordability","Policy, Research & Analysis",F,54643,105000,Annual,253 Broadway New York Ny,LongTerm Planning&Sustainablty
Internal,1,"Senior Policy Advisor, Energy Finance and Affordability","Policy, Research & Analysis",F,54643,105000,Annual,253 Broadway New York Ny,LongTerm Planning&Sustainablty
External,1,COMPLIANCE AUDITOR,Constituent Services & Community Programs,F,53134,70000,Annual,110 William St. N Y,Waterfront Permits
Internal,1,COMPLIANCE AUDITOR,Constituent Services & Community Programs,F,53134,70000,Annual,110 William St. N Y,Waterfront Permits
Internal,1,Court Liaison Officer,Legal Affairs,F,51315,54720,Annual,"150 William Street, New York N",Family Court Legal Svcs-Fcls
Internal,2,Associate Water Use Inspector II,"Health Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,57148,73039,Annual,96-05 Horace Harding Expway,Water Register/Inspection QN
Internal,4,Procurement Analyst II,"Finance, Accounting, & Procurement",F,47450,76677,Annual,96-05 Horace Harding Expway,Water Supply/Administration
Internal,1,"Supervising Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",Health,F,73576,73576,Annual,"90-27 Sutphin Blvd, Queens Ny",SH Nursing Services & Prof Dev
Internal,1,Stationary Engineer (Electric),"Engineering, Architecture, & Planning",F,363.92,363.92,Daily,"2405 Amsterdam Ave., N.Y.",Wtr Sup/179 St Pump Sta Sys
External,1,Stationary Engineer (Electric),"Engineering, Architecture, & Planning",F,363.92,363.92,Daily,"2405 Amsterdam Ave., N.Y.",Wtr Sup/179 St Pump Sta Sys
Internal,3,Health & Safety Specialist,"Public Safety, Inspections, & Enforcement",F,56261,87443,Annual,96-05 Horace Harding Expway,Environmental Health Safety
External,3,Health & Safety Specialist,"Public Safety, Inspections, & Enforcement",F,56261,87443,Annual,96-05 Horace Harding Expway,Environmental Health Safety
Internal,1,Bureau Chief Contracting Officer,"Finance, Accounting, & Procurement",,58675,156793,Annual,96-05 Horace Harding Expway,Capital Program - IFA
Internal,1,"Director, Enterprise SaaS Solutions Delivery","Technology, Data & Innovation",F,54643,150000,Annual,2 Metro Tech,Develop & Integration Services
Internal,1,"Manager, IT Inventory Management","Technology, Data & Innovation",F,79471,100000,Annual,15 Metrotech,Financial Services
Internal,1,Associate Water Use Inspector II- Brooklyn,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,57148,73039,Annual,"248 Duffield St, Brooklyn",Water Register/Inspect Bklyn
Internal,1,Associate Water Use Inspector I-Universal Metering,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,56114,70213,Annual,59-17 Junction Blvd Corona Ny,Universal Metering InspectionÂ
Internal,1,Senior Counsel,Legal Affairs,F,54643,150371,Annual,59-17 Junction Blvd Corona Ny,Counsels Office
External,1,Senior Counsel,Legal Affairs,F,54643,150371,Annual,59-17 Junction Blvd Corona Ny,Counsels Office
Internal,2,Traffic Device Maintainer,"Public Safety, Inspections, & Enforcement",F,45270,59534,Annual,NYC - All Boroughs,Trf Control & Eng Admin
External,2,Traffic Device Maintainer,"Public Safety, Inspections, & Enforcement",F,45270,59534,Annual,NYC - All Boroughs,Trf Control & Eng Admin
External,2,Budget Analyst,"Finance, Accounting, & Procurement",F,52143,65000,Annual,59-17 Junction Blvd Corona Ny,Administration/P S Budget
Internal,2,Budget Analyst,"Finance, Accounting, & Procurement",F,52143,65000,Annual,59-17 Junction Blvd Corona Ny,Administration/P S Budget
External,1,Landscape Architect,"Engineering, Architecture, & Planning",F,63074,91347,Annual,"329 Greenpoint Ave., Brooklyn",Dept of Environment Protection
Internal,1,Landscape Architect,"Engineering, Architecture, & Planning",F,63074,91347,Annual,"329 Greenpoint Ave., Brooklyn",Dept of Environment Protection
External,1,"Supervisor, Construction & Performance","Engineering, Architecture, & Planning",F,74990,86238,Annual,59-17 Junction Blvd Corona Ny,Blue Belt Unit
Internal,1,"Supervisor, Construction & Performance","Engineering, Architecture, & Planning",F,74990,86238,Annual,59-17 Junction Blvd Corona Ny,Blue Belt Unit
Internal,4,Outreach Intern,"Policy, Research & Analysis",P,13.5,17.9,Hourly,"33 Beaver St, New York Ny",Office of External Affairs
External,4,Outreach Intern,"Policy, Research & Analysis",P,13.5,17.9,Hourly,"33 Beaver St, New York Ny",Office of External Affairs
Internal,1,Program Manager,"Policy, Research & Analysis",F,50362,78177,Annual,CP Sustainability Programs,CP Sustainability Programs
External,1,Program Manager,"Policy, Research & Analysis",F,50362,78177,Annual,CP Sustainability Programs,CP Sustainability Programs
Internal,1,"Central Office Supervising Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",Health,F,78429,78429,Annual,"1 Court Square, Queens",SH Nursing Services & Prof Dev
Internal,1,"Supervising Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",Health,F,73576,73576,Annual,"1601 Ave. S, Brooklyn",SH Nursing Services & Prof Dev
Internal,1,Information Security Identity & Access Manager,"Technology, Data & Innovation",F,54643,140000,Annual,2 Metro Tech,Information Security
Internal,8,Clerical Associate III,Communications & Intergovernmental Affairs,F,33875,54879,Annual,"149-40 134 Street, Queens Ny",Sewer Maintenance - Q4
Internal,8,Clerical Associate III,Communications & Intergovernmental Affairs,F,33875,54879,Annual,"149-40 134 Street, Queens Ny",Sewer Maintenance - Q4
External,8,Clerical Associate III,Communications & Intergovernmental Affairs,F,33875,54879,Annual,"149-40 134 Street, Queens Ny",Sewer Maintenance - Q4
Internal,1,Environmental Specialist,"Public Safety, Inspections, & Enforcement",F,63074,91347,Annual,Codes/Standards,Design Department
External,1,Environmental Specialist,"Public Safety, Inspections, & Enforcement",F,63074,91347,Annual,Codes/Standards,Design Department
Internal,1,"Senior Counsel - Civil Litigation, Administrative Law, Employment/Labor",Legal Affairs,,60435,113494,Annual,Law Dept-Civil Litigation,Law Department
External,1,"Senior Counsel - Civil Litigation, Administrative Law, Employment/Labor",Legal Affairs,,60435,113494,Annual,Law Dept-Civil Litigation,Law Department
Internal,1,"EXECUTIVE DIRECTOR, CONSTRUCTION SAFETY TRAINING",Constituent Services & Community Programs,F,67060,100000,Annual,110 William St. N Y,Workforce Training
External,1,"EXECUTIVE DIRECTOR, CONSTRUCTION SAFETY TRAINING",Constituent Services & Community Programs,F,67060,100000,Annual,110 William St. N Y,Workforce Training
Internal,1,PROCUREMENT SPECIALIST,"Administration & Human Resources Technology, Data & Innovation",F,47450,76677,Annual,96-05 Horace Harding Expway,Heavy Construction/Administrat
External,1,PROCUREMENT SPECIALIST,"Administration & Human Resources Technology, Data & Innovation",F,47450,76677,Annual,96-05 Horace Harding Expway,Heavy Construction/Administrat
Internal,1,Admin Housing Dev Specialist for LHD EVP,Administration & Human Resources,F,49990,136023,Annual,LHD-OFFICE OF THE EVP,EVP For Leased Housing
Internal,1,Motor Vehicle Operator,Health,F,37200,46476,Annual,421 East 26th Street NY NY,OCME-Operations
Internal,2,Civil Engineer II,"Engineering, Architecture, & Planning",F,74990,86238,Annual,96-05 Horace Harding Expway,Rev Construction Compliance
External,2,Civil Engineer II,"Engineering, Architecture, & Planning",F,74990,86238,Annual,96-05 Horace Harding Expway,Rev Construction Compliance
External,16,"HEAT Health Navigator, Office of Executive Deputy Commissioner/Mental Hygiene",Social Services,F,50362,78177,Annual,253 Broadway New York Ny,Executive Deputy Com
Internal,16,"HEAT Health Navigator, Office of Executive Deputy Commissioner/Mental Hygiene",Social Services,F,50362,78177,Annual,253 Broadway New York Ny,Executive Deputy Com
Internal,1,"Director, Business Enterprise Systems","Engineering, Architecture, & Planning",F,75338,194395,Annual,96-05 Horace Harding Expway,Administration
External,1,"Director, Business Enterprise Systems","Engineering, Architecture, & Planning",F,75338,194395,Annual,96-05 Horace Harding Expway,Administration
Internal,1,Watershed Maintainer,Building Operations & Maintenance,F,38197,55870,Annual,164-21 110 Ave. Jamaica Queens,Stn (6) Ctrl Opr Ctr - Plt O
External,1,Watershed Maintainer,Building Operations & Maintenance,F,38197,55870,Annual,164-21 110 Ave. Jamaica Queens,Stn (6) Ctrl Opr Ctr - Plt O
Internal,2,Investigator Trainee,"Administration & Human Resources Public Safety, Inspections, & Enforcement",F,30028,42505,Annual,"235 E 20Th St., N.Y.",DORMANT
Internal,2,Human Resources Generalist,Administration & Human Resources,F,56798,71794,Annual,59-17 Junction Blvd Corona Ny,Administration/Personnel Srv
Internal,1,Director of Recruitment,Administration & Human Resources,F,78000,85000,Annual,59-17 Junction Blvd Corona Ny,Administration/Personnel Srv
Internal,12,Auto Mechanic,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,34.63,40.3,Hourly,"1 Police Plaza, N.Y.",Not Used
External,12,Auto Mechanic,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,34.63,40.3,Hourly,"1 Police Plaza, N.Y.",Not Used
Internal,2,INSTRUMENTATION SPECIALIST I,"Engineering, Architecture, & Planning",F,49934,51765,Annual,59-17 Junction Blvd Corona Ny,Central Brookly City Operation
External,2,INSTRUMENTATION SPECIALIST I,"Engineering, Architecture, & Planning",F,49934,51765,Annual,59-17 Junction Blvd Corona Ny,Central Brookly City Operation
External,2,Designated Felony Assistant Corporation Counsel,Legal Affairs,F,79079,94092,Annual,"900 Sheridan Ave., Bronx",Family Court: Bronx
Internal,4,Clerical Associate III,Health,F,33875,54879,Annual,421 East 26th Street NY NY,OCME-DNA
Internal,1,Director of Legislative Affairs,Communications & Intergovernmental Affairs,F,100000,140000,Annual,59-17 Junction Blvd Corona Ny,BCIA/BWS
External,1,DEPUTY PORTFOLIO MANAGER,"Engineering, Architecture, & Planning",F,67060,178873,Annual,96-05 Horace Harding Expway,Chief Deputies Prj Engrs Sec
Internal,1,DEPUTY PORTFOLIO MANAGER,"Engineering, Architecture, & Planning",F,67060,178873,Annual,96-05 Horace Harding Expway,Chief Deputies Prj Engrs Sec
External,1,Watershed Maintainer,"Public Safety, Inspections, & Enforcement",F,38197,55870,Annual,"1270 Victory Blvd, Staten Isl",New Clove Pump Sta Cty Opr R
Internal,1,Watershed Maintainer,"Public Safety, Inspections, & Enforcement",F,38197,55870,Annual,"1270 Victory Blvd, Staten Isl",New Clove Pump Sta Cty Opr R
Internal,1,MACHINIST,Building Operations & Maintenance,F,34.63,40.3,Hourly,59-17 Junction Blvd Corona Ny,Truck Main Maintenance
External,1,MACHINIST,Building Operations & Maintenance,F,34.63,40.3,Hourly,59-17 Junction Blvd Corona Ny,Truck Main Maintenance
External,1,"Accountable Manager, Resiliency Coordination and I&I Initiatives","Engineering, Architecture, & Planning Technology, Data & Innovation",F,49990,136023,Annual,96-05 Horace Harding Expway,Office of Agency Chief Engnr
Internal,1,"Accountable Manager, Resiliency Coordination and I&I Initiatives","Engineering, Architecture, & Planning Technology, Data & Innovation",F,49990,136023,Annual,96-05 Horace Harding Expway,Office of Agency Chief Engnr
External,1,"Accountable Manager, Resiliency Coordination and I&I Initiatives","Engineering, Architecture, & Planning Technology, Data & Innovation",F,83887,113725,Annual,96-05 Horace Harding Expway,Office of Agency Chief Engnr
Internal,1,"Accountable Manager, Resiliency Coordination and I&I Initiatives","Engineering, Architecture, & Planning Technology, Data & Innovation",F,83887,113725,Annual,96-05 Horace Harding Expway,Office of Agency Chief Engnr
External,6,Forensic Pathology Technician,Health,F,46056,61357,Annual,421 East 26th Street NY NY,OCME-Operations
Internal,6,Forensic Pathology Technician,Health,F,46056,61357,Annual,421 East 26th Street NY NY,OCME-Operations
External,1,ePMIS Solutions Manager,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,68289,104364,Annual,96-05 Horace Harding Expway,Water Quality Unit
Internal,1,ePMIS Solutions Manager,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,68289,104364,Annual,96-05 Horace Harding Expway,Water Quality Unit
External,2,Civil Engineer I,"Engineering, Architecture, & Planning",F,63074,72535,Annual,96-05 Horace Harding Expway,Rev Construction Compliance
Internal,2,Civil Engineer I,"Engineering, Architecture, & Planning",F,63074,72535,Annual,96-05 Horace Harding Expway,Rev Construction Compliance
Internal,1,Eligibility Coordinator / Adoption Liaison,"Finance, Accounting, & Procurement",F,49390,59183,Annual,"150 William Street, New York N",Asst Comm Bdgt & Clmng-Financ
Internal,1,Engineering Technician I,"Public Safety, Inspections, & Enforcement",F,36239,41675,Annual,96-05 Horace Harding Expway,Div of Field Op/Quality Assur
External,1,Engineering Technician I,"Public Safety, Inspections, & Enforcement",F,36239,41675,Annual,96-05 Horace Harding Expway,Div of Field Op/Quality Assur
Internal,1,On-Line Learning Instructional Design Specialist,Communications & Intergovernmental Affairs,F,50362,78177,Annual,"33 Beaver St, New York Ny",Admin Executive Offices
External,1,On-Line Learning Instructional Design Specialist,Communications & Intergovernmental Affairs,F,50362,78177,Annual,"33 Beaver St, New York Ny",Admin Executive Offices
Internal,1,"DIRECTOR, HIGHER EDUCATION",Constituent Services & Community Programs,F,54643,150371,Annual,110 William St. N Y,Executive
External,1,"DIRECTOR, HIGHER EDUCATION",Constituent Services & Community Programs,F,54643,150371,Annual,110 William St. N Y,Executive
External,3,ANALYSTS  ADMINISTRATIVE AGENCIES,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,43618,58162,Annual,255 Greenwich Street,Admin Agen. And Elec Offic
Internal,3,ANALYSTS  ADMINISTRATIVE AGENCIES,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,43618,58162,Annual,255 Greenwich Street,Admin Agen. And Elec Offic
Internal,1,Buyer,"Finance, Accounting, & Procurement",F,38534,65360,Annual,"33 Beaver St, New York Ny",Financial Operations
External,1,Buyer,"Finance, Accounting, & Procurement",F,38534,65360,Annual,"33 Beaver St, New York Ny",Financial Operations
Internal,1,Associate Project Manager,"Engineering, Architecture, & Planning",F,63074,91347,Annual,"356 Flushing Ave, Brooklyn",Central Brookly City Operation
External,1,Associate Project Manager,"Engineering, Architecture, & Planning",F,63074,91347,Annual,"356 Flushing Ave, Brooklyn",Central Brookly City Operation
Internal,1,Emergency Manager,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,50362,78177,Annual,96-05 Horace Harding Expway,Water Supply/Field Oper Mgt
External,1,Emergency Manager,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,50362,78177,Annual,96-05 Horace Harding Expway,Water Supply/Field Oper Mgt
External,3,WATERSHED MAINTAINER,Building Operations & Maintenance,F,38197,55870,Annual,"182 Joline Ave, Staten Isl",Blue Belt Unit
Internal,3,WATERSHED MAINTAINER,Building Operations & Maintenance,F,38197,55870,Annual,"182 Joline Ave, Staten Isl",Blue Belt Unit
External,1,Watershed Maintainer,"Public Safety, Inspections, & Enforcement",F,38197,55870,Annual,"1 Murray Hulbert Ave, Staten I",Richmond Chlortn Cty Oprtn Re
Internal,1,Watershed Maintainer,"Public Safety, Inspections, & Enforcement",F,38197,55870,Annual,"1 Murray Hulbert Ave, Staten I",Richmond Chlortn Cty Oprtn Re
Internal,1,DEPUTY DIRECTOR OF CAPITAL BUDGET,"Finance, Accounting, & Procurement",F,48535,120000,Annual,59-17 Junction Blvd Corona Ny,Capital Budget Management
External,1,DEPUTY DIRECTOR OF CAPITAL BUDGET,"Finance, Accounting, & Procurement",F,48535,120000,Annual,59-17 Junction Blvd Corona Ny,Capital Budget Management
Internal,1,PROCUREMENT/NEGOTIATIONS ATTORNEY,"Legal Affairs Policy, Research & Analysis",F,66326,99394,Annual,59-17 Junction Blvd Corona Ny,Administration/Procurement
External,1,PROCUREMENT/NEGOTIATIONS ATTORNEY,"Legal Affairs Policy, Research & Analysis",F,66326,99394,Annual,59-17 Junction Blvd Corona Ny,Administration/Procurement
Internal,1,Conference Facilitator,Social Services,F,67980,82093,Annual,"492 First Avenue, New York, Ny",Placement Services - FPS
External,1,OFFICE LIAISON,Administration & Human Resources Communications & Intergovernmental Affairs,F,37251,58478,Annual,59-17 Junction Blvd Corona Ny,Administration/Procurement
Internal,1,OFFICE LIAISON,Administration & Human Resources Communications & Intergovernmental Affairs,F,37251,58478,Annual,59-17 Junction Blvd Corona Ny,Administration/Procurement
Internal,2,CONTRACT ADMINISTRATOR,"Finance, Accounting, & Procurement",F,47450,76677,Annual,59-17 Junction Blvd Corona Ny,Administration/Procurement
External,2,CONTRACT ADMINISTRATOR,"Finance, Accounting, & Procurement",F,47450,76677,Annual,59-17 Junction Blvd Corona Ny,Administration/Procurement
External,1,CONTRACTS ATTORNEY,"Legal Affairs Policy, Research & Analysis",F,57944,70353,Annual,59-17 Junction Blvd Corona Ny,LongTerm Planning&Sustainablty
Internal,1,CONTRACTS ATTORNEY,"Legal Affairs Policy, Research & Analysis",F,57944,70353,Annual,59-17 Junction Blvd Corona Ny,LongTerm Planning&Sustainablty
External,1,"PROGRAM MANAGER, INDUSTRIAL BUSINESS SERVICE PROVIDER",Constituent Services & Community Programs,F,25.6256,39.5725,Hourly,110 William St. N Y,Business Programs
Internal,1,"PROGRAM MANAGER, INDUSTRIAL BUSINESS SERVICE PROVIDER",Constituent Services & Community Programs,F,25.6256,39.5725,Hourly,110 William St. N Y,Business Programs
Internal,1,ASSISTANT PROJECT MANAGER,"Engineering, Architecture, & Planning",F,53134,79726,Annual,96-05 Horace Harding Expway,Chief Deputies Prj Engrs Sec
External,1,ASSISTANT PROJECT MANAGER,"Engineering, Architecture, & Planning",F,53134,79726,Annual,96-05 Horace Harding Expway,Chief Deputies Prj Engrs Sec
Internal,1,"DIRECTOR, DATA AND OPERATIONS",Constituent Services & Community Programs,F,60435,70000,Annual,110 William St. N Y,Business Dev & Strategy
External,1,"DIRECTOR, DATA AND OPERATIONS",Constituent Services & Community Programs,F,60435,70000,Annual,110 William St. N Y,Business Dev & Strategy
External,1,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,53134,79726,Annual,59-17 Junction Blvd Corona Ny,Sys Operations-Bx Mgmt Eng
Internal,1,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,53134,79726,Annual,59-17 Junction Blvd Corona Ny,Sys Operations-Bx Mgmt Eng
Internal,10,Civil Engineer 1,"Engineering, Architecture, & Planning",F,63074,91347,Annual,55 Water St Ny Ny,Engineering Review & Support
External,10,Civil Engineer 1,"Engineering, Architecture, & Planning",F,63074,91347,Annual,55 Water St Ny Ny,Engineering Review & Support
External,1,ASSOCIATE STAFF ANALYST,Administration & Human Resources,F,65731,80000,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,1,ASSOCIATE STAFF ANALYST,Administration & Human Resources,F,65731,80000,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,1,Hardware Engineer (MAINFRAME),"Technology, Data & Innovation",,79471,100309,Annual,2 Metro Tech,Public Safety IT Services
External,2,"Budget Analyst, Bureau of Budget and Revenue/Budget Administration","Finance, Accounting, & Procurement",F,42288,59400,Annual,"125 Worth Street, Nyc",Budget Administration
Internal,2,"Budget Analyst, Bureau of Budget and Revenue/Budget Administration","Finance, Accounting, & Procurement",F,42288,59400,Annual,"125 Worth Street, Nyc",Budget Administration
External,2,ANALYST  PARKS,"Finance, Accounting, & Procurement Policy, Research & Analysis",,43618,65433,Annual,255 Greenwich Street,Fire & Sanitation
Internal,2,ANALYST  PARKS,"Finance, Accounting, & Procurement Policy, Research & Analysis",,43618,65433,Annual,255 Greenwich Street,Fire & Sanitation
Internal,1,Stationary Engineer,Building Operations & Maintenance,F,60.84,60.84,Hourly,421 East 26th Street NY NY,OCME-Admin
Internal,1,Assistant Civil Engineer,"Engineering, Architecture, & Planning",F,57720,61104,Annual,96-05 Horace Harding Expway,Rev Construction Compliance
External,1,Assistant Civil Engineer,"Engineering, Architecture, & Planning",F,57720,61104,Annual,96-05 Horace Harding Expway,Rev Construction Compliance
External,1,ASSISTANT PROJECT MANAGER,"Engineering, Architecture, & Planning",F,53134,79726,Annual,96-05 Horace Harding Expway,Chief Deputies Prj Engrs Sec
Internal,1,ASSISTANT PROJECT MANAGER,"Engineering, Architecture, & Planning",F,53134,79726,Annual,96-05 Horace Harding Expway,Chief Deputies Prj Engrs Sec
Internal,1,PSAC Facility Operations Manager,"Technology, Data & Innovation",F,92065,115000,Annual,2 Metro Tech,Financial Services
Internal,29,Clerical Associate,"Administration & Human Resources Constituent Services & Community Programs Policy, Research & Analysis",F,33875,54879,Annual,"100 Church St., N.Y.",Family Court: New York
Internal,1,Assistant Civil Engineer,"Engineering, Architecture, & Planning",F,53134,79726,Annual,"356 Flushing Ave, Brooklyn",Central Brookly City Operation
External,1,Assistant Civil Engineer,"Engineering, Architecture, & Planning",F,53134,79726,Annual,"356 Flushing Ave, Brooklyn",Central Brookly City Operation
Internal,1,CERTIFIED IT DEVELOPER (APPLICATIONS),"Technology, Data & Innovation",F,85823,121363,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
External,1,CERTIFIED IT DEVELOPER (APPLICATIONS),"Technology, Data & Innovation",F,85823,121363,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
External,1,Financial Auditor,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,52143,65000,Annual,59-17 Junction Blvd Corona Ny,Administration/Revenue Cla
Internal,1,Financial Auditor,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,52143,65000,Annual,59-17 Junction Blvd Corona Ny,Administration/Revenue Cla
Internal,1,Senior Systems Engineer (Citrix),"Technology, Data & Innovation",,85823,103000,Annual,2 Metro Tech,Public Safety IT Services
Internal,4,Civil Engineer 2,"Engineering, Architecture, & Planning",F,74990,104182,Annual,55 Water St Ny Ny,Bridges Roadways
External,4,Civil Engineer 2,"Engineering, Architecture, & Planning",F,74990,104182,Annual,55 Water St Ny Ny,Bridges Roadways
