Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
10,10,Western New York Region, 29-1151, Nurse Anesthetists,n/a,181490,167040,116560,213960
10,4,Hudson Valley Region, 47-2121, Glaziers,610,57090,50020,40350,65470
10,9,Southern Tier Region, 51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",1470,42090,41700,27070,49600
10,7,New York City Region, 19-1022, Microbiologists,n/a,78450,74380,51420,91960
10,7,New York City Region, 29-2031, Cardiovascular Technologists and Technicians,1220,61310,58800,41110,71410
10,7,New York City Region, 25-9011,Audio-Visual and Multimedia Collections Specialists,n/a,63200,59430,44770,72420
10,9,Southern Tier Region, 35-3011, Bartenders,1670,23810,21632,21632,25310
10,4,Hudson Valley Region, 13-2053, Insurance Underwriters,510,96660,83140,54190,117890
10,9,Southern Tier Region, 41-3011, Advertising Sales Agents,250,45880,39380,27250,55190
10,1,Capital Region, 33-0000,Protective Service Occupations,12710,55860,52580,28270,69660
10,2,Central New York Region, 11-9021, Construction Managers,370,113530,94960,68100,136250
1,36,New York State, 39-3031," Ushers, Lobby Attendants, and Ticket Takers",11910,26130,23990,21632,28510
10,3,Finger Lakes Region, 39-3012, Gaming and Sports Book Writers and Runners,n/a,28740,28490,23000,31610
10,4,Hudson Valley Region, 51-6011, Laundry and Dry-Cleaning Workers,1670,25450,22610,21632,27810
10,6,Mohawk Valley Region, 35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",400,27180,24140,22360,29580
10,10,Western New York Region, 11-0000,Management Occupations,26220,117210,100250,58990,146320
10,5,Long Island Region, 47-2111, Electricians,6360,68120,60330,39400,82470
10,4,Hudson Valley Region, 53-7032,Excavating and Loading Machine and Dragline Operators,280,77010,66790,40800,95120
10,4,Hudson Valley Region, 51-9011, Chemical Equipment Operators and Tenders,350,36240,36270,25660,41530
10,10,Western New York Region, 27-3041, Editors,310,64500,64450,34340,79570
10,4,Hudson Valley Region, 47-2171, Reinforcing Iron and Rebar Workers,n/a,99250,105550,76370,110690
10,5,Long Island Region, 19-1099," Life Scientists, All Other",n/a,103650,100920,85040,112950
1,36,New York State, 53-7072," Pump Operators, Except Wellhead Pumpers",n/a,42960,42180,28140,50360
10,5,Long Island Region, 49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",n/a,43260,42780,31640,49070
10,6,Mohawk Valley Region, 19-4093, Forest and Conservation Technicians,n/a,34010,29940,28680,36670
10,7,New York City Region, 33-3051, Police and Sheriff's Patrol Officers,26310,70390,73930,46160,82510
10,9,Southern Tier Region, 35-1011, Chefs and Head Cooks,240,42460,41190,24270,51550
10,6,Mohawk Valley Region, 51-8031,Water and Wastewater Treatment Plant and System Operators,300,44110,41420,31390,50470
10,7,New York City Region, 27-1025, Interior Designers,2760,72090,66680,47890,84190
10,10,Western New York Region, 49-9051, Electrical Power-Line Installers and Repairers,300,82940,86480,65960,91420
10,5,Long Island Region, 47-5021," Earth Drillers, Except Oil and Gas",170,75340,63020,51370,87330
10,2,Central New York Region, 17-3031, Surveying and Mapping Technicians,100,45000,43010,29650,52670
10,4,Hudson Valley Region, 53-5011, Sailors and Marine Oilers,n/a,68530,85460,25400,90100
10,2,Central New York Region, 25-0000,"Education, Training, and Library Occupations",30660,62310,55800,27600,79670
10,5,Long Island Region, 19-4091,"Environmental Science and Protection Technicians, Including Health",300,53670,53410,35990,62510
10,7,New York City Region, 19-1013, Soil and Plant Scientists,n/a,64300,55090,36410,78250
10,10,Western New York Region, 11-3051, Industrial Production Managers,650,127330,120100,82400,149790
10,2,Central New York Region, 27-3022, Reporters and Correspondents,60,49440,42670,27090,60610
10,10,Western New York Region, 41-2021, Counter and Rental Clerks,1620,29270,25030,21632,33240
10,7,New York City Region, 35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",8890,30170,28920,24960,33790
10,10,Western New York Region, 23-2093," Title Examiners, Abstractors, and Searchers",n/a,54290,45400,35320,63780
10,2,Central New York Region, 43-4051, Customer Service Representatives,7410,39890,35540,25080,47300
10,9,Southern Tier Region, 53-7061, Cleaners of Vehicles and Equipment,460,30720,25590,22440,34850
10,10,Western New York Region, 27-3012, Public Address System and Other Announcers,100,108230,108250,26470,149110
10,3,Finger Lakes Region, 51-6011, Laundry and Dry-Cleaning Workers,750,25730,23920,21632,27900
10,4,Hudson Valley Region, 00-0000,"Total, All Occupations",947050,58300,43220,24580,75160
10,4,Hudson Valley Region, 43-9021, Data Entry Keyers,1290,40100,39190,27170,46560
10,3,Finger Lakes Region, 25-2052,"Special Education Teachers, Kindergarten and Elementary School",1240,63860,61320,47520,72030
10,2,Central New York Region, 37-0000,Building and Grounds Cleaning and Maintenance Occupations,12430,31490,27680,22130,36170
10,10,Western New York Region, 49-9052, Telecommunications Line Installers and Repairers,270,63430,66910,32340,78980
10,9,Southern Tier Region, 25-9041, Teacher Assistants,4780,26210,23150,21632,29010
1,36,New York State, 25-2051," Special Education Teachers, Preschool",5230,75040,63260,42820,91150
10,2,Central New York Region, 43-9031, Desktop Publishers,n/a,40070,37260,26490,46870
10,8,North Country Region, 51-4041, Machinists,190,48710,48310,38240,53940
10,8,North Country Region, 21-1029,"Social Workers, All Other",200,59510,57810,46540,65990
10,3,Finger Lakes Region, 13-1075, Labor Relations Specialists,310,60320,56000,35340,72810
1,36,New York State, 25-1124,"Foreign Language and Literature Teachers, Postsecondary",3360,88130,71920,48030,108180
10,3,Finger Lakes Region, 17-3011, Architectural and Civil Drafters,320,51120,48650,37840,57770
10,6,Mohawk Valley Region, 43-3021, Billing and Posting Clerks,580,36550,35520,27980,40840
1,36,New York State, 29-2052, Pharmacy Technicians,18260,34020,31700,24030,39010
10,3,Finger Lakes Region, 17-2131, Materials Engineers,70,86570,88470,62050,98840
10,1,Capital Region, 25-1061,"Anthropology and Archeology Teachers, Postsecondary",100,67260,53850,44310,78730
10,2,Central New York Region, 29-1181, Audiologists,n/a,93470,95610,89720,95350
1,36,New York State, 37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",5280,57120,51690,38700,66330
10,8,North Country Region, 21-1021," Child, Family, and School Social Workers",350,48310,45740,34380,55280
10,5,Long Island Region, 25-1199,"Postsecondary Teachers, All Other",310,69890,60320,45170,82250
10,4,Hudson Valley Region, 39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",180,30380,28270,23190,33980
10,10,Western New York Region, 53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",70,23520,21632,21632,24700
10,10,Western New York Region, 37-2021, Pest Control Workers,130,39070,37180,27110,45050
10,9,Southern Tier Region, 15-2011, Actuaries,n/a,174830,169480,117710,203400
10,7,New York City Region, 39-6011, Baggage Porters and Bellhops,3170,32820,30020,24960,37730
10,4,Hudson Valley Region, 47-3012,Helpers--Carpenters,170,36450,36990,25440,41950
10,2,Central New York Region, 21-2099," Religious Workers, All Other",n/a,24440,21632,21632,26420
10,1,Capital Region, 51-9011, Chemical Equipment Operators and Tenders,90,58530,58340,47840,63870
10,6,Mohawk Valley Region, 27-2041, Music Directors and Composers,90,51780,52020,26840,64250
10,1,Capital Region, 47-2171, Reinforcing Iron and Rebar Workers,n/a,52240,38300,31830,62450
10,9,Southern Tier Region, 43-5031," Police, Fire, and Ambulance Dispatchers",210,44540,45020,34160,49730
10,2,Central New York Region, 29-0000,Healthcare Practitioners and Technical Occupations,22010,76300,61290,38150,95370
10,9,Southern Tier Region, 21-1015, Rehabilitation Counselors,140,38000,32530,24920,44540
10,7,New York City Region, 25-2022,"Middle School Teachers, Except Special and Career/Technical Education",13080,78140,78020,53000,90710
1,36,New York State, 37-2021, Pest Control Workers,2990,38880,37930,28900,43870
10,6,Mohawk Valley Region, 51-9122," Painters, Transportation Equipment",80,41020,40680,26250,48400
10,2,Central New York Region, 29-1063," Internists, General",50,227040,210090,152470,264330
10,9,Southern Tier Region, 35-3041," Food Servers, Nonrestaurant",300,23490,21632,21632,24820
10,8,North Country Region, 25-1069,"Social Sciences Teachers, Postsecondary, All Other",n/a,59230,53190,40860,68410
10,9,Southern Tier Region, 11-9021, Construction Managers,200,101570,93980,59720,122490
10,1,Capital Region, 29-2031, Cardiovascular Technologists and Technicians,270,52220,54080,30530,63070
10,3,Finger Lakes Region, 41-1012,First-Line Supervisors of Non-Retail Sales Workers,1100,82360,72450,51050,98020
10,4,Hudson Valley Region, 51-7021, Furniture Finishers,n/a,40300,31400,29080,45910
1,36,New York State, 29-1065," Pediatricians, General",1850,168220,159320,86030,209310
10,1,Capital Region, 51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",70,39510,39390,31580,43480
10,10,Western New York Region, 27-4011, Audio and Video Equipment Technicians,460,48240,48450,27540,58580
10,6,Mohawk Valley Region, 49-9098,"Helpers--Installation, Maintenance, and Repair Workers",150,30830,29990,22070,35200
10,2,Central New York Region, 27-3091, Interpreters and Translators,n/a,42130,31080,22810,51790
1,36,New York State, 41-9022, Real Estate Sales Agents,4960,105700,92060,48690,134200
1,36,New York State, 19-4021, Biological Technicians,2990,47630,44920,33170,54870
10,1,Capital Region, 29-2091, Orthotists and Prosthetists,n/a,54700,49050,45140,59470
10,1,Capital Region, 41-3099," Sales Representatives, Services, All Other",2900,63860,57190,35820,77880
10,5,Long Island Region, 11-2011, Advertising and Promotions Managers,150,109760,67090,56730,136280
10,10,Western New York Region, 37-2012, Maids and Housekeeping Cleaners,3880,25080,23360,21632,26980
10,3,Finger Lakes Region, 43-3071, Tellers,1270,30130,29680,24570,32910
1,36,New York State, 53-3099," Motor Vehicle Operators, All Other",3400,35230,30800,22820,41440
10,6,Mohawk Valley Region, 29-2057, Ophthalmic Medical Technicians,n/a,37520,36570,35000,38780
10,1,Capital Region, 11-3051, Industrial Production Managers,460,149490,130030,84490,182000
10,10,Western New York Region, 35-3031, Waiters and Waitresses,13430,28780,24350,21632,32680
1,36,New York State, 43-4081," Hotel, Motel, and Resort Desk Clerks",10520,33480,26750,22700,38860
10,7,New York City Region, 25-2032,"Career/Technical Education Teachers, Secondary School",720,85130,87190,58030,98680
10,2,Central New York Region, 27-1011, Art Directors,n/a,70630,66400,42160,84870
10,2,Central New York Region, 51-6093, Upholsterers,n/a,35710,37220,27160,39990
10,8,North Country Region, 31-2022, Physical Therapist Aides,20,32810,32000,29080,34680
10,4,Hudson Valley Region, 13-2071, Credit Counselors,180,56510,51160,37040,66240
10,3,Finger Lakes Region, 29-9091, Athletic Trainers,130,48520,46740,37530,54010
10,7,New York City Region, 39-7010,Tour and Travel Guides,1940,38390,31160,24960,46250
10,8,North Country Region, 51-7011, Cabinetmakers and Bench Carpenters,n/a,37640,37510,30000,41460
10,7,New York City Region, 51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",950,42470,32970,25240,51080
10,9,Southern Tier Region, 25-1112," Law Teachers, Postsecondary",n/a,233500,,117640,291430
10,3,Finger Lakes Region, 25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",140,60070,58730,41280,69460
10,7,New York City Region, 35-3011, Bartenders,18610,37230,33230,24960,44850
10,9,Southern Tier Region, 11-3021, Computer and Information Systems Managers,460,141280,125940,83230,170300
10,1,Capital Region, 43-4199," Information and Record Clerks, All Other",380,43650,43430,34940,48000
1,36,New York State, 13-1081, Logisticians,3190,78670,73760,52430,91800
10,3,Finger Lakes Region, 29-1127, Speech-Language Pathologists,840,69210,66390,46330,80650
10,5,Long Island Region, 11-3021, Computer and Information Systems Managers,2500,170350,157510,116030,197510
10,1,Capital Region, 13-2031, Budget Analysts,540,69200,68940,50540,78530
10,5,Long Island Region, 51-6099,"Textile, Apparel, and Furnishings Workers, All Other",n/a,43310,44780,28330,50790
10,7,New York City Region, 15-1122, Information Security Analysts,3640,135270,127160,78360,163720
10,5,Long Island Region, 29-1069," Physicians and Surgeons, All Other",8060,197730,193660,75040,259080
10,6,Mohawk Valley Region, 19-4099,"Life, Physical, and Social Science Technicians, All Other",80,43740,42400,29300,50960
10,3,Finger Lakes Region, 43-9031, Desktop Publishers,n/a,30490,29230,28080,31700
10,10,Western New York Region, 25-1123,"English Language and Literature Teachers, Postsecondary",600,69070,61220,38950,84130
10,10,Western New York Region, 43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",550,36310,34470,26100,41420
10,3,Finger Lakes Region, 41-9099," Sales and Related Workers, All Other",130,37610,27230,22050,45390
1,36,New York State, 15-2090,Miscellaneous Mathematical Science Occupations,n/a,146250,166220,47240,195750
10,2,Central New York Region, 47-2131," Insulation Workers, Floor, Ceiling, and Wall",200,36160,36310,27380,40550
10,1,Capital Region, 51-5111, Prepress Technician and Workers,190,41330,39250,27390,48300
10,9,Southern Tier Region, 51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",140,47670,47030,36810,53100
1,36,New York State, 39-7010,Tour and Travel Guides,3070,35920,28510,22440,42660
10,9,Southern Tier Region, 49-9043," Maintenance Workers, Machinery",150,42460,40320,32080,47660
10,10,Western New York Region, 15-1133," Software Developers, Systems Software",910,90120,80450,55810,107270
10,8,North Country Region, 45-2011, Agricultural Inspectors,n/a,62110,63340,47940,69190
10,6,Mohawk Valley Region, 51-9199," Production Workers, All Other",250,25480,23510,22730,26850
10,9,Southern Tier Region, 17-2011, Aerospace Engineers,50,110840,109600,84770,123870
10,4,Hudson Valley Region, 49-9098,"Helpers--Installation, Maintenance, and Repair Workers",520,36800,32610,24370,43020
10,1,Capital Region, 33-9091, Crossing Guards,140,27570,26350,22150,30280
10,3,Finger Lakes Region, 51-4061," Model Makers, Metal and Plastic",70,46650,47980,32040,53960
10,5,Long Island Region, 49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",4410,63280,60050,46320,71760
10,1,Capital Region, 47-2111, Electricians,2320,61160,61710,37730,72880
10,2,Central New York Region, 51-3092, Food Batchmakers,220,30690,29020,21770,35150
10,5,Long Island Region, 17-2061, Computer Hardware Engineers,180,106380,99780,58460,130330
1,36,New York State, 17-3012, Electrical and Electronics Drafters,1490,67390,63540,38610,81780
10,5,Long Island Region, 43-9071," Office Machine Operators, Except Computer",410,40160,36360,24840,47820
10,3,Finger Lakes Region, 17-0000,Architecture and Engineering Occupations,11140,77720,74190,48530,92320
10,5,Long Island Region, 15-1142, Network and Computer Systems Administrators,3010,91880,86800,64750,105440
10,2,Central New York Region, 47-4071, Septic Tank Servicers and Sewer Pipe Cleaners,210,38830,36040,27090,44700
10,2,Central New York Region, 49-3023, Automotive Service Technicians and Mechanics,2070,38250,36840,24980,44890
10,7,New York City Region, 25-2053," Special Education Teachers, Middle School",4280,78730,75580,56680,89760
10,7,New York City Region, 29-1123, Physical Therapists,5140,88790,85950,64970,100700
10,5,Long Island Region, 19-2042,"Geoscientists, Except Hydrologists and Geographers",n/a,79240,75280,56480,90620
10,10,Western New York Region, 31-9011, Massage Therapists,400,52050,55790,35200,60480
10,1,Capital Region, 53-1048,,1160,56400,54070,36650,66280
10,9,Southern Tier Region, 27-4014, Sound Engineering Technicians,n/a,65920,61500,40970,78390
10,4,Hudson Valley Region, 43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",19150,40970,40460,27550,47680
10,2,Central New York Region, 25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",270,50100,49420,30590,59850
10,2,Central New York Region, 39-5092, Manicurists and Pedicurists,520,24280,23880,22260,25300
10,10,Western New York Region, 49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",2280,68290,65190,47630,78610
10,8,North Country Region, 11-9161, Emergency Management Directors,20,68690,71450,45120,80480
10,1,Capital Region, 35-1012,First-Line Supervisors of Food Preparation and Serving Workers,2830,36240,34790,24980,41870
10,3,Finger Lakes Region, 37-2012, Maids and Housekeeping Cleaners,2240,25170,23710,21632,27010
10,4,Hudson Valley Region, 11-3021, Computer and Information Systems Managers,1830,193790,187550,123500,228940
10,5,Long Island Region, 25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",120,98700,92800,63270,116420
10,10,Western New York Region, 29-1071, Physician Assistants,620,102200,97510,82660,111970
10,7,New York City Region, 43-9021, Data Entry Keyers,5060,37850,35110,26250,43650
10,10,Western New York Region, 33-9099," Protective Service Workers, All Other",1690,27970,26360,23200,30360
10,7,New York City Region, 29-1181, Audiologists,n/a,94080,92600,72360,104950
1,36,New York State, 25-1125," History Teachers, Postsecondary",2040,93920,78890,46910,117420
10,4,Hudson Valley Region, 49-2098, Security and Fire Alarm Systems Installers,710,54670,56180,36620,63700
10,3,Finger Lakes Region, 51-9193,Cooling and Freezing Equipment Operators and Tenders,70,37720,38220,22730,45210
1,36,New York State, 43-5032," Dispatchers, Except Police, Fire, and Ambulance",13140,50380,42190,27450,61850
10,9,Southern Tier Region, 15-2031, Operations Research Analysts,50,71440,69990,45590,84360
10,10,Western New York Region, 51-9122," Painters, Transportation Equipment",50,53950,55950,33370,64240
10,8,North Country Region, 39-4031," Morticians, Undertakers, and Funeral Directors",50,53410,53770,37720,61250
10,10,Western New York Region, 19-1032, Foresters,n/a,68240,69460,51750,76490
10,3,Finger Lakes Region, 19-2041,"Environmental Scientists and Specialists, Including Health",160,59850,57560,36490,71540
10,5,Long Island Region, 37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,2000,60340,62740,37870,71570
10,1,Capital Region, 43-4141, New Accounts Clerks,90,32200,33370,25950,35320
10,7,New York City Region, 15-2041, Statisticians,600,102720,96190,70280,118950
10,9,Southern Tier Region, 29-2021, Dental Hygienists,520,60300,59630,51820,64540
10,1,Capital Region, 53-7021, Crane and Tower Operators,80,46720,45930,29890,55130
10,1,Capital Region, 29-1125, Recreational Therapists,50,53120,51120,40760,59300
10,7,New York City Region, 19-1041, Epidemiologists,n/a,87610,76980,59210,101810
10,8,North Country Region, 37-2021, Pest Control Workers,20,37290,37490,24960,43460
1,36,New York State, 49-9044, Millwrights,790,69710,64920,48330,80400
10,9,Southern Tier Region, 11-2021, Marketing Managers,190,164160,154710,100780,195860
10,4,Hudson Valley Region, 43-3051, Payroll and Timekeeping Clerks,1090,49470,49000,32760,57820
10,7,New York City Region, 25-1031," Architecture Teachers, Postsecondary",600,151990,133400,74910,190520
10,10,Western New York Region, 43-3031," Bookkeeping, Accounting, and Auditing Clerks",7230,39240,38320,27150,45290
10,5,Long Island Region, 51-6093, Upholsterers,n/a,52680,53600,37680,60180
10,1,Capital Region, 29-1041, Optometrists,190,167800,145770,93070,205170
1,36,New York State, 11-9131,Postmasters and Mail Superintendents,840,78760,77780,66740,84770
10,4,Hudson Valley Region, 25-1199,"Postsecondary Teachers, All Other",640,100730,88620,57700,122250
10,10,Western New York Region, 35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",2780,24070,22350,21632,25600
1,36,New York State, 51-2021," Coil Winders, Tapers, and Finishers",470,33640,30500,24720,38100
10,8,North Country Region, 15-1132," Software Developers, Applications",70,83210,77030,53290,98170
10,7,New York City Region, 19-1021, Biochemists and Biophysicists,n/a,69290,60300,49590,79150
10,8,North Country Region, 39-9031, Fitness Trainers and Aerobics Instructors,200,30670,24720,21632,35570
10,10,Western New York Region, 11-2011, Advertising and Promotions Managers,70,104930,79470,44630,135080
10,2,Central New York Region, 49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",70,39210,37240,25290,46180
1,36,New York State, 13-2082,Tax Preparers,2840,55600,46940,24770,71020
10,6,Mohawk Valley Region, 47-1011,Supervisors of Construction and Extraction Workers,500,61340,59170,42610,70710
10,1,Capital Region, 29-1171, Nurse Practitioners,700,111790,105900,84590,125390
10,5,Long Island Region, 53-6051, Transportation Inspectors,180,78740,63890,35780,100220
10,10,Western New York Region, 39-9031, Fitness Trainers and Aerobics Instructors,1220,35850,33640,22710,42410
10,10,Western New York Region, 25-1011," Business Teachers, Postsecondary",670,86320,75050,37730,110620
10,8,North Country Region, 19-4011, Agricultural and Food Science Technicians,30,45260,42880,33150,51320
10,4,Hudson Valley Region, 51-4111, Tool and Die Makers,170,55270,56100,40740,62530
10,1,Capital Region, 27-3022, Reporters and Correspondents,160,55180,48790,32720,66410
10,7,New York City Region, 29-2053, Psychiatric Technicians,760,47830,46970,42380,50550
10,3,Finger Lakes Region, 27-4021, Photographers,150,37320,29420,22180,44890
10,2,Central New York Region, 25-1022," Mathematical Science Teachers, Postsecondary",240,93640,77780,47280,116820
10,10,Western New York Region, 43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",11640,36220,34940,25830,41420
10,7,New York City Region, 41-9021, Real Estate Brokers,1160,112090,95930,46880,144690
10,3,Finger Lakes Region, 15-0000,Computer and Mathematical Occupations,18440,73640,69670,42680,89120
10,8,North Country Region, 25-2053," Special Education Teachers, Middle School",200,68850,65020,50880,77840
10,9,Southern Tier Region, 33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,70,83110,81090,70330,89500
10,5,Long Island Region, 13-2071, Credit Counselors,230,53140,47550,37050,61180
10,10,Western New York Region, 31-1013, Psychiatric Aides,230,41830,43900,32540,46480
10,2,Central New York Region, 25-4013, Museum Technicians and Conservators,n/a,36080,33440,21632,43770
10,6,Mohawk Valley Region, 11-9031,"Education Administrators, Preschool and Childcare Center/Program",70,63810,47190,39560,75940
10,6,Mohawk Valley Region, 27-4099,"Media and Communication Equipment Workers, All Other",n/a,65590,69300,38850,78950
10,1,Capital Region, 41-2031,Retail Salespersons,17670,28530,24560,21920,31840
10,3,Finger Lakes Region, 39-2021, Nonfarm Animal Caretakers,830,24640,22590,21632,26500
10,7,New York City Region, 47-2053, Terrazzo Workers and Finishers,n/a,68130,50940,24960,90130
10,3,Finger Lakes Region, 51-2041, Structural Metal Fabricators and Fitters,150,42230,43100,27590,49550
10,4,Hudson Valley Region, 31-9096,Veterinary Assistants and Laboratory Animal Caretakers,650,31280,29260,22890,35480
10,2,Central New York Region, 43-5021, Couriers and Messengers,240,29280,29130,23260,32290
10,3,Finger Lakes Region, 15-1152, Computer Network Support Specialists,1870,51360,45630,35620,59240
10,3,Finger Lakes Region, 43-4061," Eligibility Interviewers, Government Programs",1090,42920,42660,34450,47160
1,36,New York State, 21-1021," Child, Family, and School Social Workers",25330,57520,52280,36110,68230
10,5,Long Island Region, 23-0000,Legal Occupations,14660,104430,81060,47590,132850
1,36,New York State, 51-9022," Grinding and Polishing Workers, Hand",1440,34250,28920,22790,39980
10,7,New York City Region, 31-9096,Veterinary Assistants and Laboratory Animal Caretakers,450,40060,36950,28150,46010
10,3,Finger Lakes Region, 51-9071, Jewelers and Precious Stone and Metal Workers,100,45380,42010,28960,53590
10,7,New York City Region, 25-1021," Computer Science Teachers, Postsecondary",1300,116910,108780,54520,148100
10,5,Long Island Region, 47-2061, Construction Laborers,12690,49710,42350,26080,61520
10,4,Hudson Valley Region, 11-9151, Social and Community Service Managers,1550,91830,86630,60860,107310
10,1,Capital Region, 25-1113," Social Work Teachers, Postsecondary",n/a,102020,85640,52790,126640
10,7,New York City Region, 49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,4740,62340,67290,41960,72520
1,36,New York State, 51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",4860,39080,38100,27230,45000
10,5,Long Island Region, 47-2081, Drywall and Ceiling Tile Installers,920,74550,62130,39650,92010
10,8,North Country Region, 13-1121," Meeting, Convention, and Event Planners",50,40710,38000,31120,45500
10,7,New York City Region, 27-4032, Film and Video Editors,3940,88010,75170,43860,110080
10,1,Capital Region, 29-1127, Speech-Language Pathologists,640,69090,64960,48970,79150
10,1,Capital Region, 27-3012, Public Address System and Other Announcers,n/a,51110,55490,33700,59810
10,9,Southern Tier Region, 43-3071, Tellers,760,30030,29600,24120,32990
10,9,Southern Tier Region, 43-5081, Stock Clerks and Order Fillers,3560,27950,24690,22090,30870
10,5,Long Island Region, 43-4111," Interviewers, Except Eligibility and Loan",2140,45150,45940,37140,49150
10,4,Hudson Valley Region, 43-5061," Production, Planning, and Expediting Clerks",2480,52910,51590,33900,62420
10,6,Mohawk Valley Region, 13-1131, Fundraisers,90,61010,51610,33050,74990
10,7,New York City Region, 11-2022, Sales Managers,12970,226010,212230,126830,275610
1,36,New York State, 25-1041," Agricultural Sciences Teachers, Postsecondary",330,104490,98210,54300,129580
10,5,Long Island Region, 41-3021, Insurance Sales Agents,4040,89340,78390,45280,111370
10,5,Long Island Region, 33-3051, Police and Sheriff's Patrol Officers,5200,104710,117610,64270,124930
10,9,Southern Tier Region, 53-7063, Machine Feeders and Offbearers,210,26730,24490,22250,28970
10,8,North Country Region, 43-5061," Production, Planning, and Expediting Clerks",320,46050,41620,32000,53070
10,7,New York City Region, 43-5051, Postal Service Clerks,2130,52270,59940,38480,59160
10,2,Central New York Region, 11-3121, Human Resources Managers,200,121320,115550,74590,144690
10,10,Western New York Region, 15-2031, Operations Research Analysts,450,74830,72600,53550,85470
10,2,Central New York Region, 17-1021, Cartographers and Photogrammetrists,n/a,66860,63250,58710,70930
10,8,North Country Region, 27-3042, Technical Writers,n/a,73940,68270,44990,88410
10,5,Long Island Region, 51-9123," Painting, Coating, and Decorating Workers",130,36530,37240,23930,42840
10,8,North Country Region, 21-1093, Social and Human Service Assistants,740,35480,32150,25020,40700
10,2,Central New York Region, 25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1970,69770,65310,54450,77430
10,5,Long Island Region, 19-4031, Chemical Technicians,520,48880,46680,30550,58040
10,7,New York City Region, 47-2051, Cement Masons and Concrete Finishers,3580,86800,91100,65180,97610
10,2,Central New York Region, 13-2099," Financial Specialists, All Other",60,74980,73650,49330,87810
10,1,Capital Region, 33-1012, First-Line Supervisors of Police and Detectives,640,106710,112190,75210,122460
10,8,North Country Region, 51-5111, Prepress Technician and Workers,n/a,32180,30640,28080,34230
10,4,Hudson Valley Region, 39-1021,First-Line Supervisors of Personal Service Workers,3010,50110,48900,34420,57950
10,2,Central New York Region, 21-0000,Community and Social Service Occupations,7050,48170,44750,29110,57700
10,4,Hudson Valley Region, 29-2041, Emergency Medical Technicians and Paramedics,1950,44810,42880,29690,52360
1,36,New York State, 51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,n/a,26910,26970,22750,29000
10,8,North Country Region, 25-1032," Engineering Teachers, Postsecondary",170,95060,91490,58630,113280
10,9,Southern Tier Region, 25-0000,"Education, Training, and Library Occupations",27570,66100,54690,26980,85660
10,3,Finger Lakes Region, 17-3023, Electrical and Electronic Engineering Technicians,620,54390,54260,34430,64370
10,7,New York City Region, 25-2012," Kindergarten Teachers, Except Special Education",1410,70150,62230,39110,85660
10,2,Central New York Region, 33-9021, Private Detectives and Investigators,n/a,43140,44070,29670,49880
10,2,Central New York Region, 21-1029,"Social Workers, All Other",470,61260,61130,51740,66020
10,10,Western New York Region, 27-3043, Writers and Authors,80,55740,48350,28110,69560
10,1,Capital Region, 35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,1330,25150,21632,21632,27340
10,10,Western New York Region, 17-3027, Mechanical Engineering Technicians,150,55550,53940,42880,61880
10,8,North Country Region, 49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",50,54340,54020,44370,59330
10,1,Capital Region, 39-2021, Nonfarm Animal Caretakers,950,25560,23540,21632,27620
10,6,Mohawk Valley Region, 51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",90,41930,41990,30590,47590
10,9,Southern Tier Region, 25-2032,"Career/Technical Education Teachers, Secondary School",240,70860,70760,50950,80820
1,36,New York State, 23-2091, Court Reporters,1440,90520,97050,57240,107150
10,1,Capital Region, 47-3013,Helpers--Electricians,n/a,29910,29860,23840,32940
